"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","UVI Max","UVI Max Time","Cloud Amount"
"01","1004.2","1007.3","1005.5","2022/08/01 22:09:00","1002.6","2022/08/01 02:00:00","29.3","33.2","2022/08/01 11:37:00","27.1","2022/08/01 06:02:00","24.5","76","55","2022/08/01 10:28:00","2.2","190","7.5","250","2022/08/01 12:33:00","T","0.5","T","2022/08/01 16:24:00","T","2022/08/01 16:24:00","3.1","23.4","17.11","20.0","11","2022/08/01 12:00:00","9.0"
"02","1005.9","1009.0","1008.1","2022/08/02 10:34:00","1003.9","2022/08/02 16:38:00","27.5","28.9","2022/08/02 00:01:00","24.6","2022/08/02 10:35:00","24.4","84","74","2022/08/02 01:22:00","1.9","200","8.5","180","2022/08/02 05:20:00","91.0","3.6","17.5","2022/08/02 09:54:00","67.5","2022/08/02 09:42:00","0.0","0.0","6.34","14.0","4","2022/08/02 14:00:00","9.6"
"03","1006.1","1009.1","1007.3","2022/08/03 22:08:00","1004.6","2022/08/03 14:55:00","28.7","32.3","2022/08/03 11:07:00","26.8","2022/08/03 05:27:00","23.9","76","60","2022/08/03 10:59:00","2.0","20","10.7","180","2022/08/03 16:10:00","T","0.2","T","2022/08/03 13:56:00","T","2022/08/03 13:56:00","1.0","7.6","13.75","34.0","11","2022/08/03 11:00:00","9.4"
"04","1006.7","1009.8","1008.5","2022/08/04 21:33:00","1005.4","2022/08/04 03:45:00","29.2","33.6","2022/08/04 12:51:00","26.7","2022/08/04 21:02:00","23.8","74","53","2022/08/04 13:31:00","2.6","190","14.7","190","2022/08/04 16:01:00","2.0","0.7","1.0","2022/08/04 20:38:00","2.0","2022/08/04 20:09:00","8.7","65.8","23.29","26.0","11","2022/08/04 11:00:00","5.0"
"05","1006.7","1009.8","1007.7","2022/08/05 00:01:00","1004.8","2022/08/05 16:08:00","29.7","34.1","2022/08/05 12:16:00","26.5","2022/08/05 05:37:00","24.4","75","52","2022/08/05 12:17:00","2.3","10","8.5","270","2022/08/05 14:12:00","1.0","0.8","1.0","2022/08/05 19:13:00","1.0","2022/08/05 19:13:00","7.7","59.0","22.17","48.0","14","2022/08/05 12:00:00","6.4"
"06","1005.5","1008.5","1007.3","2022/08/06 00:01:00","1003.4","2022/08/06 15:37:00","29.6","33.1","2022/08/06 10:37:00","27.6","2022/08/06 04:47:00","25.2","78","60","2022/08/06 10:38:00","2.1","300","8.4","280","2022/08/06 14:52:00","0.5","0.9","0.5","2022/08/06 15:24:00","0.5","2022/08/06 14:50:00","7.4","56.8","21.40","35.0","12","2022/08/06 13:00:00","5.6"
"07","1005.3","1008.4","1007.3","2022/08/07 23:00:00","1003.4","2022/08/07 14:23:00","28.7","33.5","2022/08/07 11:55:00","25.7","2022/08/07 17:31:00","24.3","78","57","2022/08/07 11:55:00","1.8","100","9.3","320","2022/08/07 15:01:00","36.5","2.8","15.0","2022/08/07 14:55:00","35.0","2022/08/07 14:40:00","3.9","30.0","12.47","21.6","8","2022/08/07 12:00:00","7.2"
"08","1005.4","1008.5","1007.0","2022/08/08 00:01:00","1003.2","2022/08/08 15:21:00","29.5","34.3","2022/08/08 14:44:00","26.2","2022/08/08 04:12:00","23.2","69","50","2022/08/08 11:29:00","1.8","60","11.1","20","2022/08/08 18:33:00","0.0","0.0","0.0","--","0.0","--","8.2","62.4","20.74","17.4","11","2022/08/08 11:00:00","5.4"
"09","1005.1","1008.2","1006.8","2022/08/09 22:13:00","1003.6","2022/08/09 15:12:00","29.1","33.4","2022/08/09 12:04:00","26.9","2022/08/09 13:50:00","24.7","78","59","2022/08/09 12:05:00","1.9","20","9.6","180","2022/08/09 13:37:00","11.5","1.7","7.0","2022/08/09 13:42:00","11.0","2022/08/09 13:40:00","4.0","30.8","13.18","9.2","7","2022/08/09 12:00:00","8.0"
